identifier,identifier.source,target,target.source
CHEBI:99,ChEBI,C10502,KEGG Compound
CHEBI:29750,ChEBI,C00331,KEGG Compound
CHEBI:3954,ChEBI,C10140,KEGG Compound
CHEBI:72665,ChEBI,C14829,KEGG Compound
CHEBI:27690,ChEBI,C06805,KEGG Compound
CHEBI:15867,ChEBI,C02266,KEGG Compound
CHEBI:18426,ChEBI,C04299,KEGG Compound
CHEBI:545687,ChEBI,C16308,KEGG Compound
CHEBI:18344,ChEBI,C01717,KEGG Compound
CHEBI:6956,ChEBI,C09226,KEGG Compound
CHEBI:20331,ChEBI,C14450,KEGG Compound
CHEBI:3908,ChEBI,C10205,KEGG Compound
CHEBI:32815,ChEBI,C02763,KEGG Compound
CHEBI:32816,ChEBI,C00022,KEGG Compound
CHEBI:29023,ChEBI,C05793,KEGG Compound
CHEBI:15978,ChEBI,C00093,KEGG Compound
CHEBI:41001,ChEBI,C10847,KEGG Compound
CHEBI:27958,ChEBI,C01416,KEGG Compound
CHEBI:16151,ChEBI,C02274,KEGG Compound
CHEBI:18053,ChEBI,C01234,KEGG Compound
CHEBI:79870,ChEBI,C15368,KEGG Compound
CHEBI:49269,ChEBI,C15568,KEGG Compound
CHEBI:6052,ChEBI,C10084,KEGG Compound
CHEBI:17308,ChEBI,C00902,KEGG Compound
CHEBI:34494,ChEBI,C14825,KEGG Compound
CHEBI:37440,ChEBI,C00846,KEGG Compound
CHEBI:17597,ChEBI,C00633,KEGG Compound
CHEBI:36632,ChEBI,C07215,KEGG Compound
CHEBI:180368,ChEBI,C01062,KEGG Compound
CHEBI:69669,ChEBI,C10892,KEGG Compound
CHEBI:28834,ChEBI,C04483,KEGG Compound
CHEBI:28794,ChEBI,C05851,KEGG Compound
CHEBI:28476,ChEBI,C07209,KEGG Compound
CHEBI:81365,ChEBI,C17879,KEGG Compound
CHEBI:81201,ChEBI,C17593,KEGG Compound
CHEBI:28593,ChEBI,C06527,KEGG Compound
CHEBI:4631,ChEBI,C10039,KEGG Compound
CHEBI:10072,ChEBI,C02470,KEGG Compound
CHEBI:17620,ChEBI,C01494,KEGG Compound
CHEBI:15365,ChEBI,C01405,KEGG Compound
CHEBI:8825,ChEBI,C10401,KEGG Compound
